code,city,state
0,N/A,N/A
48Y,PINECREEK BORDER ARPT,MN
5KE,KETCHIKAN,AK
ABE,ABERDEEN,WA
ABG,ALBURG,VT
ABQ,ALBUQUERQUE,NM
ABS,ALBURG SPRINGS,VT
ACY,POMONA FIELD - ATLANTIC CITY,NJ
ADS,ADDISON AIRPORT- ADDISON,TX
ADT,AMISTAD DAM,TX
ADW,ANDREWS AFB,MD
AFW,FORT WORTH ALLIANCE,TX
AG0,MAGNOLIA,AR
AGA,AGANA,GU
AGM,ALGOMA,WI
AGN,ALGONAC,MI
AGS,BUSH FIELD - AUGUSTA,GA
AGU,AGUADILLA,PR
AKR,AKRON,OH
ALA,ALAMAGORDO,NM (BPS)
ALB,ALBANY,NY
ALC,ALCAN,AK
ALP,ALPENA,MI
AMB,AMBROSE,ND
AMS,AMSTERDAM-SCHIPHOL,NETHERLANDS
ANA,ANACORTES,WA
ANC,ANCHORAGE,AK
AND,ANDRADE,CA
ANP,ANTELOPE WELLS,NM
ANT,ANTLER,ND
ANZ,ANZALDUAS,TX
APA,ARAPAHOE COUNTY,CO
APF,NAPLES,FL #ARPT
ARB,ARUBA,NETH ANTILLES
ASE,ASPEN,CO #ARPT
AST,ASTORIA,OR
ATB,ASHTABULA,OH
ATL,ATLANTA,GA
AUS,AUSTIN,TX
AXB,ALEXANDRIA BAY,NY
BAL,BALTIMORE,MD
BAN,BANKOK,THAILAND
BAR,BAKER AAF - BAKER ISLAND,AK
BAU,BAUDETTE,MN
BAY,BAYFIELD,WI
BBP,BIG BEND PARK,TX (BPS)
BCK,BUCKPORT,ME
BCY,BAY CITY,MI
BDA,KINDLEY FIELD,BERMUDA
BDL,BRADLEY INTERNATIONAL,CT
BEA,BEAUMONT,TX
BEB,BEEBE PLAIN,VT
BED,HANSCOM FIELD - BEDFORD,MA
BEE,BEECHER FALLS,VT
BEI,BEICA #ARPT,ETHIOPIA
BEL,BELLINGHAM,WA
BFL,MEADOWS FIELD - BAKERSFIELD,CA
BGC,BRIDGEPORT,CT
BGM,BANGOR,ME
BHM,BAR HARBOR,ME
BHX,BIRMINGHAM,AL
BIL,BILLINGS,MT
BLA,BLAINE,WA
BLF,MERCER COUNTY,WV
BLI,BELLINGHAM,WASHINGTON #INTL
BOA,BRIDGE OF AMERICAS,TX
BOC,BOCAGRANDE,FL
BOI,AIR TERM. (GOWEN FLD) BOISE,ID
BOO,BOOTHBAY HARBOR,ME
BOS,BOSTON,MA
BQN,BORINQUEN - AGUADILLO,PR
BRG,BURLINGTON,VT
BRO,BROWNSVILLE,TX
BRU,BRUNSWICK,GA
BTC,BP TACTICAL UNIT,TX
BTM,BUTTE,MT
BTN,BATON ROUGE,LA
BUF,BUFFALO,NY
BUR,BURBANK,CA
BWA,BOUNDARY,WA
BWM,BRIDGEWATER,ME
BYO,BAYONNE,NJ
BZN,GALLATIN FIELD - BOZEMAN,MT
CAE,COLUMBIA,SC #ARPT
CAK,AKRON,OH
CAL,CALEXICO,CA
CAN,CAPE CANAVERAL,FL
CAO,CAMPO,CA
CAP,CAPE VINCENT,NY
CAR,CARIBOU MUNICIPAL AIRPORT,MN
CDD,CRANE LAKE - ST. LOUIS CNTY,NM
CHA,CHARLOTTE AMALIE,VI
CHF,CHIEF MT,MT
CHI,CHICAGO,IL
CHL,CHARLESTON,SC
CHM,CHAMPLAIN,NY
CHO,ALBEMARLE CHARLOTTESVILLE,VA
CHR,CHRISTIANSTED,VI
