code,name
CP,Commerical Pilot
CPL,Commerical Pilot
B1,Visa Holders-Business
B2,Visa Holders-Pleasure
E1,Visa Holders-Treaty Trader
E2,Visa Holders-Treaty Investor
F1,Visa Holders-Students
F2,Visa Holders-Family Members of Students
GMB,Guam Visa Waiver-Business
GMT,Guam Visa Waiver-Tourist
I,Visa Holders-Foreign Information Media
M1,Visa Holders-Vocational Students
M2,Visa Holders-Family Members of Vocational Students
SBP,Unknown Type
WB,Visa Waiver-Business
WT,Visa Waiver-Tourist
NA,Not Available
